lemma,1830,1840,1850,sum
[ADVISE],254.0,172.0,220.0,646.0
[STRIVE],157.0,245.0,243.0,645.0
[ATTACK],221.0,194.0,230.0,645.0
[CONSENT],191.0,251.0,202.0,644.0
[DEAL],200.0,209.0,224.0,633.0
[GRASP],164.0,273.0,196.0,633.0
[STRUGGLE],183.0,222.0,226.0,631.0
[SUSPEND],260.0,212.0,159.0,631.0
[EXCEPT],281.0,181.0,168.0,630.0
[DASH],157.0,260.0,212.0,629.0
[TIE],243.0,204.0,181.0,628.0
[RECORD],240.0,213.0,175.0,628.0
[APPROVE],282.0,200.0,144.0,626.0
[SACRIFICE],228.0,210.0,187.0,625.0
[FIRE],193.0,203.0,226.0,622.0
[PICK],204.0,200.0,218.0,622.0
[HATE],148.0,287.0,186.0,621.0
[ADMINISTER],247.0,196.0,175.0,618.0
[SWELL],178.0,237.0,203.0,618.0
[REQUEST],267.0,177.0,174.0,618.0
[SIGN],229.0,219.0,167.0,615.0
[FLOAT],170.0,187.0,258.0,615.0
[TRAIN],220.0,211.0,184.0,615.0
[AVAIL],210.0,191.0,211.0,612.0
[SHOUT],193.0,255.0,162.0,610.0
[AMOUNT],266.0,173.0,168.0,607.0
[CHECK],212.0,200.0,193.0,605.0
[ATTRIBUTE],232.0,216.0,156.0,604.0
[RECALL],164.0,159.0,281.0,604.0
[PRECEDE],219.0,216.0,167.0,602.0
[RENEW],185.0,202.0,215.0,602.0
[REGRET],257.0,184.0,160.0,601.0
[RIPEN],167.0,220.0,213.0,600.0
[MEASURE],201.0,186.0,213.0,600.0
[CROWD],200.0,187.0,213.0,600.0
[DRY],195.0,156.0,247.0,598.0
[BORROW],225.0,153.0,218.0,596.0
[DISSOLVE],202.0,199.0,188.0,589.0
[WAVE],184.0,242.0,161.0,587.0
[FLASH],168.0,235.0,183.0,586.0
[DEFINE],190.0,187.0,208.0,585.0
[ENLARGE],209.0,174.0,201.0,584.0
[CONSULT],216.0,187.0,181.0,584.0
[ORIGINATE],154.0,235.0,194.0,583.0
[MARCH],224.0,155.0,202.0,581.0
[INFLUENCE],209.0,183.0,187.0,579.0
[MIND],183.0,202.0,192.0,577.0
[AIM],157.0,217.0,201.0,575.0
[COST],197.0,136.0,240.0,573.0
[WEIGH],198.0,180.0,194.0,572.0
[KNEEL],224.0,201.0,147.0,572.0
[OCCASION],214.0,167.0,186.0,567.0
[WELCOME],237.0,147.0,183.0,567.0
[ROUND],195.0,166.0,204.0,565.0
[DESTINE],171.0,206.0,187.0,564.0
[GLANCE],204.0,178.0,181.0,563.0
[LEAP],178.0,208.0,176.0,562.0
[COUNT],172.0,201.0,187.0,560.0
[TERMINATE],224.0,189.0,146.0,559.0
[MISS],142.0,253.0,163.0,558.0
[CRUSH],141.0,213.0,204.0,558.0
[TEMPT],187.0,191.0,180.0,558.0
[FASTEN],141.0,183.0,234.0,558.0
[WASTE],190.0,165.0,202.0,557.0
[ASSOCIATE],180.0,185.0,191.0,556.0
[TREAD],189.0,189.0,175.0,553.0
[ARGUE],158.0,200.0,195.0,553.0
[FULFIL],164.0,193.0,195.0,552.0
[WASH],230.0,130.0,190.0,550.0
[TRANSFER],239.0,144.0,166.0,549.0
[FAVOR],133.0,209.0,207.0,549.0
[ROUSE],190.0,178.0,180.0,548.0
[QUESTION],203.0,196.0,149.0,548.0
[PROCLAIM],136.0,203.0,207.0,546.0
[WOUND],166.0,172.0,205.0,543.0
[DETECT],135.0,204.0,202.0,541.0
[ABOUND],183.0,193.0,164.0,540.0
[TERM],156.0,176.0,208.0,540.0
[PRACTISE],250.0,165.0,123.0,538.0
[PENETRATE],149.0,172.0,216.0,537.0
[RING],156.0,180.0,201.0,537.0
[QUALIFY],181.0,190.0,162.0,533.0
[KISS],184.0,141.0,208.0,533.0
[ADORN],183.0,168.0,181.0,532.0
[LAND],159.0,183.0,189.0,531.0
[APPEAL],188.0,181.0,161.0,530.0
[CONCERNING],170.0,188.0,171.0,529.0
[SHED],184.0,170.0,175.0,529.0
[INFER],181.0,179.0,165.0,525.0
[AWAKE],162.0,201.0,161.0,524.0
[VIOLATE],173.0,178.0,171.0,522.0
[OMIT],206.0,169.0,146.0,521.0
[PLUNGE],128.0,197.0,195.0,520.0
[APPROPRIATE],184.0,195.0,141.0,520.0
[SEARCH],150.0,177.0,190.0,517.0
[NOTE],119.0,201.0,197.0,517.0
[SOUND],146.0,181.0,189.0,516.0
[CLOTHE],160.0,166.0,189.0,515.0
[SUMMON],156.0,158.0,199.0,513.0
[DISTRIBUTE],168.0,174.0,170.0,512.0
[PART],189.0,180.0,142.0,511.0
[APPREHEND],173.0,171.0,165.0,509.0
[SURPASS],181.0,164.0,164.0,509.0
[QUIT],183.0,183.0,140.0,506.0
[MULTIPLY],155.0,143.0,207.0,505.0
[RECKON],128.0,218.0,159.0,505.0
[SHRINK],131.0,202.0,172.0,505.0
[DEVISE],190.0,162.0,149.0,501.0
[INTIMATE],216.0,149.0,135.0,500.0
[CHARACTERIZE],136.0,179.0,185.0,500.0
[ABSORB],133.0,172.0,194.0,499.0
[SURRENDER],155.0,205.0,138.0,498.0
[RESERVE],231.0,119.0,146.0,496.0
[MELT],166.0,148.0,181.0,495.0
[OVERLOOK],157.0,184.0,154.0,495.0
[TROUBLE],164.0,167.0,162.0,493.0
[ASCRIBE],176.0,174.0,142.0,492.0
[NEAR],160.0,188.0,143.0,491.0
[PRINT],174.0,151.0,161.0,486.0
[PROHIBIT],221.0,123.0,142.0,486.0
[WARM],162.0,140.0,184.0,486.0
[SUPPRESS],166.0,171.0,147.0,484.0
[VANISH],163.0,135.0,184.0,482.0
[DEPOSIT],166.0,116.0,199.0,481.0
[CORRESPOND],163.0,156.0,162.0,481.0
[EXPEND],130.0,163.0,186.0,479.0
[HAND],182.0,146.0,150.0,478.0
[ROB],148.0,164.0,164.0,476.0
[CONTRIVE],177.0,142.0,156.0,475.0
[EVINCE],152.0,130.0,191.0,473.0
[DRAG],143.0,168.0,162.0,473.0
[AFFIRM],152.0,176.0,144.0,472.0
[BOUND],154.0,191.0,127.0,472.0
[UNDERGO],133.0,174.0,164.0,471.0
[DEFEAT],162.0,156.0,152.0,470.0
[WIND],165.0,167.0,138.0,470.0
[CLING],142.0,160.0,166.0,468.0
[LINGER],124.0,176.0,168.0,468.0
[AGITATE],147.0,159.0,161.0,467.0
[REPAIR],171.0,132.0,162.0,465.0
[CONVERSE],178.0,156.0,130.0,464.0
[RESPOND],83.0,195.0,183.0,461.0
[PLEAD],164.0,126.0,170.0,460.0
[ENACT],161.0,136.0,162.0,459.0
[AROUSE],93.0,186.0,180.0,459.0
[WAKE],109.0,209.0,137.0,455.0
[EXPAND],135.0,178.0,139.0,452.0
[THRUST],127.0,142.0,183.0,452.0
[ACCUMULATE],134.0,146.0,170.0,450.0
[ENDOW],139.0,147.0,163.0,449.0
[SUBSTITUTE],208.0,124.0,116.0,448.0
[RUIN],132.0,155.0,158.0,445.0
[FADE],136.0,164.0,145.0,445.0
[RESORT],210.0,127.0,105.0,442.0
[WARN],114.0,147.0,177.0,438.0
[EARN],138.0,118.0,182.0,438.0
[RESIGN],164.0,131.0,143.0,438.0
[IMITATE],168.0,127.0,140.0,435.0
[DANCE],118.0,129.0,187.0,434.0
[KINDLE],163.0,120.0,149.0,432.0
[MODIFY],123.0,142.0,167.0,432.0
[DEMONSTRATE],124.0,112.0,194.0,430.0
[RECONCILE],139.0,174.0,116.0,429.0
[FLING],125.0,194.0,110.0,429.0
[PERFECT],131.0,158.0,139.0,428.0
[PRESCRIBE],195.0,138.0,94.0,427.0
[DIFFUSE],127.0,142.0,158.0,427.0
[AMUSE],151.0,105.0,170.0,426.0
[RULE],132.0,147.0,144.0,423.0
[SATISFIED],157.0,131.0,135.0,423.0
[OBJECT],166.0,135.0,121.0,422.0
[PROMPT],124.0,171.0,127.0,422.0
[DESIGNATE],147.0,145.0,128.0,420.0
[SUBDUE],126.0,152.0,140.0,418.0
[REVIVE],148.0,138.0,132.0,418.0
[INSERT],138.0,183.0,96.0,417.0
[PERVADE],123.0,156.0,137.0,416.0
[CONTENT],131.0,138.0,145.0,414.0
[EXCUSE],150.0,139.0,124.0,413.0
[ENSUE],145.0,122.0,146.0,413.0
[FLOURISH],157.0,125.0,130.0,412.0
[OFFEND],147.0,130.0,135.0,412.0
[CLASP],111.0,157.0,144.0,412.0
[STALK],18.0,150.0,243.0,411.0
[DESPISE],116.0,150.0,145.0,411.0
[DOUBLE],116.0,168.0,127.0,411.0
[DISMISS],123.0,164.0,123.0,410.0
[CONTRACT],165.0,131.0,114.0,410.0
[REDEEM],195.0,105.0,110.0,410.0
[CITE],159.0,130.0,120.0,409.0
[CONQUER],110.0,148.0,150.0,408.0
[STARTLE],117.0,126.0,164.0,407.0
[INHABIT],123.0,154.0,129.0,406.0
[PLEDGE],152.0,154.0,98.0,404.0
[REAR],111.0,155.0,137.0,403.0
[DISCERN],106.0,164.0,132.0,402.0
[DESERT],159.0,130.0,113.0,402.0
[SUFFICE],115.0,124.0,161.0,400.0
[INCUR],125.0,140.0,135.0,400.0
[CIRCULATE],192.0,106.0,102.0,400.0
[ABOLISH],136.0,141.0,123.0,400.0
[BASE],79.0,156.0,164.0,399.0
[FRAME],119.0,155.0,125.0,399.0
[LESSEN],160.0,157.0,80.0,397.0
[INVENT],152.0,101.0,144.0,397.0
[WORSHIP],118.0,147.0,130.0,395.0
[BOAST],146.0,124.0,124.0,394.0
[ARM],98.0,185.0,110.0,393.0
[REWARD],151.0,128.0,113.0,392.0
[INCLUDING],147.0,118.0,125.0,390.0
[COMMEND],109.0,136.0,144.0,389.0
[CHEER],123.0,123.0,143.0,389.0
[CROWN],124.0,147.0,118.0,389.0
[LOAD],105.0,130.0,152.0,387.0
[CONFOUND],120.0,167.0,98.0,385.0
[PARDON],126.0,152.0,107.0,385.0
[ADHERE],153.0,110.0,121.0,384.0
[HURT],125.0,118.0,140.0,383.0
[STIMULATE],97.0,138.0,146.0,381.0
[RUB],166.0,105.0,110.0,381.0
[EMBARK],128.0,141.0,110.0,379.0
[CONCEDE],99.0,147.0,133.0,379.0
[ACCUSE],126.0,110.0,142.0,378.0
[TRANSMIT],130.0,127.0,121.0,378.0
[INTERPOSE],116.0,121.0,141.0,378.0
[STICK],152.0,117.0,108.0,377.0
[EMBODY],107.0,121.0,149.0,377.0
[CONCERN],122.0,126.0,127.0,375.0
[REASON],129.0,133.0,113.0,375.0
[CELEBRATE],143.0,114.0,117.0,374.0
[WRAP],124.0,132.0,117.0,373.0
[MATURE],129.0,135.0,109.0,373.0
[TRANSPORT],132.0,104.0,136.0,372.0
[DENOUNCE],125.0,106.0,141.0,372.0
[UNFOLD],123.0,145.0,103.0,371.0
[DIG],127.0,108.0,135.0,370.0
[SIGH],92.0,121.0,157.0,370.0
[KNOCK],133.0,112.0,124.0,369.0
[ENDEAVOUR],189.0,130.0,49.0,368.0
[JUMP],121.0,99.0,147.0,367.0
[SLAY],129.0,161.0,76.0,366.0
[DICTATE],131.0,110.0,124.0,365.0
[DREAD],94.0,136.0,134.0,364.0
[SWALLOW],127.0,126.0,110.0,363.0
[CREEP],80.0,123.0,159.0,362.0
[DINE],141.0,72.0,147.0,360.0
[EXTINGUISH],141.0,98.0,121.0,360.0
[WITHHOLD],108.0,134.0,117.0,359.0
[FLATTER],141.0,123.0,94.0,358.0
[ABUSE],145.0,100.0,112.0,357.0
[TRANSLATE],142.0,104.0,111.0,357.0
[ACHIEVE],95.0,95.0,166.0,356.0
[TRAVERSE],111.0,128.0,116.0,355.0
[PROVOKE],96.0,117.0,140.0,353.0
[ALARM],127.0,136.0,90.0,353.0
[CLIMB],98.0,78.0,176.0,352.0
[ALLEGE],160.0,84.0,107.0,351.0
[DEGRADE],108.0,158.0,85.0,351.0
[REIGN],98.0,166.0,86.0,350.0
[SURVEY],134.0,128.0,87.0,349.0
[PRAISE],131.0,116.0,102.0,349.0
[RELEASE],120.0,108.0,120.0,348.0
[RID],120.0,122.0,106.0,348.0
[CONFIDE],141.0,110.0,96.0,347.0
[DETAIN],133.0,104.0,110.0,347.0
[BLAME],101.0,118.0,126.0,345.0
[WEAKEN],104.0,118.0,123.0,345.0
[GLIDE],98.0,111.0,133.0,342.0
[PIERCE],89.0,137.0,116.0,342.0
